long,lat,year,rcp,litter,t_winter,t_summer,t_annual
-110.0472,37.60413,1980,historical,11,0.9648352,23.15924,23.15924
-110.0472,37.60413,1980,historical,11,0.9648352,23.15924,0.9648352
-110.0472,37.60413,1981,historical,11,3.334444,23.27065,11.58132
-110.0472,37.60413,1982,historical,11,-0.01555556,22.05707,9.472283
-110.0472,37.60413,1984,historical,11,-1.047253,21.95978,21.95978
-110.0472,37.60413,1984,historical,11,-1.047253,21.95978,-1.047253
-110.0472,37.60413,1985,historical,11,-0.94,23.38859,9.743956
-110.0472,37.60413,1986,historical,11,2.294444,22.45109,10.7375
-110.0472,37.60413,1987,historical,11,-0.41,22.01576,22.01576
-110.0472,37.60413,1988,historical,11,-1.256593,23.25,-1.256593
-110.0472,37.60413,1989,historical,11,-1.843889,22.5125,11.75495
-110.0472,37.60413,1990,historical,11,-0.09666667,23.2337,10.88261
-110.0472,37.60413,1991,historical,11,-2.093889,22.31033,22.31033
-110.0472,37.60413,1992,historical,11,-1.282418,21.67554,-1.282418
-110.0472,37.60413,1993,historical,11,-1.296667,21.29783,9.881868
-110.0472,37.60413,1994,historical,11,-0.4327778,24.52935,11.58913
-110.0472,37.60413,1995,historical,11,1.735556,22.06848,22.06848
-110.0472,37.60413,1996,historical,11,1.550549,24.16793,1.550549
-110.0472,37.60413,1997,historical,11,0.6705556,22.10163,11.33846
-110.0472,37.60413,1998,historical,11,0.08777778,22.54674,9.704891
-110.0472,37.60413,1999,historical,11,1.832778,21.66522,21.66522
-110.0472,37.60413,2000,historical,11,1.467582,23.94185,1.467582
-110.0472,37.60413,2001,historical,11,0.3561111,23.12826,13.42802
-110.0472,37.60413,2002,historical,11,-0.85,24.23804,11.1413
-110.0472,37.60413,2003,historical,11,1.374444,24.26359,24.26359
-110.0472,37.60413,2004,historical,11,-0.8736264,22.70707,-0.8736264
-110.0472,37.60413,2005,historical,11,1.402222,22.2962,11.86374
-110.0472,37.60413,2006,historical,11,0.7255556,23.89511,10.95652
