,year,evap_summer,ppt_summer,tmax_summer,vwc_summer_whole
0,1980,0.0,0.355,0.671,0.264
1,1981,0.796,0.869,0.8,0.158
2,1982,0.613,0.52,0.657,0.547
3,1983,0.825,0.538,0.586,0.59
4,1984,0.815,0.52,0.613,0.331
5,1985,0.131,0.221,0.732,0.363
6,1986,0.651,0.529,0.603,0.419
7,1987,0.619,0.558,0.576,0.824
8,1988,0.672,0.483,0.627,0.282
9,1989,0.375,0.317,1.0,0.256
10,1990,0.34,0.421,0.681,0.104
11,1991,0.554,0.445,0.596,0.216
12,1992,0.502,0.434,0.579,0.353
13,1993,0.241,0.084,0.0,0.325
14,1994,0.125,0.351,0.681,0.044
15,1995,0.614,0.454,0.678,0.369
16,1996,0.392,0.404,0.637,0.065
17,1997,0.479,0.826,0.2,0.771
18,1998,0.376,0.428,0.678,0.3
19,1999,1.0,0.643,0.579,1.0
20,2000,0.352,0.405,0.664,0.072
21,2001,0.554,0.611,0.371,0.338
22,2002,0.176,0.362,0.678,0.0
23,2003,0.371,0.421,0.708,0.182
24,2004,0.121,0.356,0.606,0.094
25,2005,0.511,0.613,1.0,0.469
26,2006,0.575,0.463,0.667,0.19
27,2007,0.476,0.484,0.559,0.253
28,2008,0.404,0.451,0.61,0.368
29,2009,0.11,0.0,0.559,0.071
30,2010,0.599,0.529,0.695,0.971
31,2011,0.498,0.301,0.506,0.126
32,2012,0.296,0.452,0.627,0.325
33,2013,0.326,0.515,0.864,0.39
34,2014,0.414,0.457,0.633,0.354
35,2015,0.811,1.0,0.559,0.743
36,2016,0.456,0.457,0.698,0.37
37,2017,0.349,0.343,0.705,0.193
38,2018,0.119,0.398,0.633,0.08
39,2021,0.414,0.389,0.71,0.406
40,2022,0.366,0.405,0.776,0.362
41,2023,0.457,0.519,0.72,0.582
42,2024,0.314,0.407,0.751,0.471
