long,lat,year,rcp,drysoildays_summer_whole,evap_summer,nondryswa_summer_whole,ppt_summer,tmax_summer
-110.0472,37.60413,1980,historical,7.368,3.446,0.285,2.69,37.05
-110.0472,37.60413,1980,historical,7.368,3.446,0.285,2.69,37.05
-110.0472,37.60413,1980,historical,7.368,3.446,0.285,2.69,37.05
-110.0472,37.60413,1980,historical,7.368,3.446,0.285,2.69,37.05
-110.0472,37.60413,1980,historical,0.0,1.56,0.032,7.44,37.104
-110.0472,37.60413,1981,historical,7.368,3.446,0.285,9.39,37.55
-110.0472,37.60413,1981,historical,0.0,5.043,0.034,7.44,37.104
-110.0472,37.60413,1982,historical,7.368,3.446,0.285,9.5,36.65
-110.0472,37.60413,1982,historical,0.0,4.528,0.199,7.44,37.104
-110.0472,37.60413,1983,historical,7.368,3.446,0.285,10.22,34.55
-110.0472,37.60413,1983,historical,0.0,5.17,0.096,7.44,37.104
-110.0472,37.60413,1984,historical,7.368,3.446,0.285,9.49,35.35
-110.0472,37.60413,1984,historical,7.368,3.446,0.285,9.49,35.35
-110.0472,37.60413,1984,historical,7.368,3.446,0.285,9.49,35.35
-110.0472,37.60413,1984,historical,7.368,3.446,0.285,9.49,35.35
-110.0472,37.60413,1984,historical,0.0,5.23,0.045,7.44,37.104
-110.0472,37.60413,1985,historical,7.368,3.446,0.285,4.81,37.55
-110.0472,37.60413,1985,historical,0.0,2.116,0.105,7.44,37.104
-110.0472,37.60413,1986,historical,7.368,3.446,0.285,9.85,35.05
-110.0472,37.60413,1986,historical,0.0,4.435,0.113,7.44,37.104
-110.0472,37.60413,1987,historical,7.368,3.446,0.285,11.04,34.25
-110.0472,37.60413,1987,historical,0.0,4.574,0.312,7.44,37.104
-110.0472,37.60413,1988,historical,7.368,3.446,0.285,7.98,35.75
-110.0472,37.60413,1988,historical,0.0,4.32,0.027,7.44,37.104
-110.0472,37.60413,1989,historical,7.368,3.446,0.285,6.69,38.25
-110.0472,37.60413,1989,historical,0.0,3.272,0.092,7.44,37.104
-110.0472,37.60413,1990,historical,7.368,3.446,0.285,5.41,37.35
-110.0472,37.60413,1990,historical,0.0,2.986,0.011,7.44,37.104
-110.0472,37.60413,1991,historical,7.368,3.446,0.285,6.39,34.85
-110.0472,37.60413,1991,historical,0.0,3.954,0.01,7.44,37.104
-110.0472,37.60413,1992,historical,7.368,3.446,0.285,5.95,34.35
-110.0472,37.60413,1992,historical,0.0,3.622,0.013,7.44,37.104
-110.0472,37.60413,1993,historical,7.368,3.446,0.285,5.55,34.75
-110.0472,37.60413,1993,historical,0.0,2.442,0.093,7.44,37.104
-110.0472,37.60413,1994,historical,7.368,3.446,0.285,2.56,37.35
-110.0472,37.60413,1994,historical,0.0,2.021,0.0,7.44,37.104
-110.0472,37.60413,1995,historical,7.368,3.446,0.285,6.76,37.25
-110.0472,37.60413,1995,historical,0.0,4.157,0.012,7.44,37.104
-110.0472,37.60413,1996,historical,7.368,3.446,0.285,4.72,36.05
-110.0472,37.60413,1996,historical,0.0,3.063,0.001,7.44,37.104
-110.0472,37.60413,1997,historical,7.368,3.446,0.285,9.18,35.45
-110.0472,37.60413,1997,historical,0.0,3.8,0.324,7.44,37.104
-110.0472,37.60413,1998,historical,7.368,3.446,0.285,5.69,37.25
-110.0472,37.60413,1998,historical,0.0,3.196,0.057,7.44,37.104
-110.0472,37.60413,1999,historical,7.368,3.446,0.285,14.56,34.35
-110.0472,37.60413,1999,historical,0.0,6.327,0.312,7.44,37.104
-110.0472,37.60413,2000,historical,7.368,3.446,0.285,4.78,36.85
-110.0472,37.60413,2000,historical,0.0,2.989,0.001,7.44,37.104
-110.0472,37.60413,2001,historical,7.368,3.446,0.285,8.13,36.05
-110.0472,37.60413,2001,historical,0.0,4.105,0.078,7.44,37.104
-110.0472,37.60413,2002,historical,7.368,3.446,0.285,3.0,37.25
-110.0472,37.60413,2002,historical,0.0,2.189,0.0,7.44,37.104
-110.0472,37.60413,2003,historical,7.368,3.446,0.285,5.4,38.15
-110.0472,37.60413,2003,historical,0.0,3.085,0.028,7.44,37.104
-110.0472,37.60413,2004,historical,7.368,3.446,0.285,2.76,35.15
-110.0472,37.60413,2004,historical,0.0,1.998,0.0,7.44,37.104
-110.0472,37.60413,2005,historical,7.368,3.446,0.285,8.14,38.25
-110.0472,37.60413,2005,historical,0.0,3.814,0.107,7.44,37.104
-110.0472,37.60413,2006,historical,7.368,3.446,0.285,7.13,36.95
-110.0472,37.60413,2006,historical,0.0,4.04,0.02,7.44,37.104
-110.0472,37.60413,2007,historical,7.368,3.446,0.285,7.59,36.25
-110.0472,37.60413,2007,historical,0.0,3.722,0.057,7.44,37.104
-110.0472,37.60413,2008,historical,7.368,3.446,0.285,6.65,35.25
-110.0472,37.60413,2008,historical,0.0,3.183,0.049,7.44,37.104
-110.0472,37.60413,2009,historical,7.368,3.446,0.285,2.48,36.25
-110.0472,37.60413,2009,historical,0.0,1.811,0.0,7.44,37.104
-110.0472,37.60413,2010,historical,7.368,3.446,0.285,9.85,37.75
-110.0472,37.60413,2010,historical,0.0,4.373,0.277,7.44,37.104
-110.0472,37.60413,2011,historical,7.368,3.446,0.285,5.66,35.85
-110.0472,37.60413,2011,historical,0.0,3.79,0.002,7.44,37.104
-110.0472,37.60413,2012,historical,7.368,3.446,0.285,6.7,35.75
-110.0472,37.60413,2012,historical,0.0,2.969,0.127,7.44,37.104
-110.0472,37.60413,2013,historical,7.368,3.446,0.285,7.91,38.55
-110.0472,37.60413,2013,historical,0.0,3.05,0.174,7.44,37.104
-110.0472,37.60413,2014,historical,7.368,3.446,0.285,6.9,35.95
-110.0472,37.60413,2014,historical,0.0,3.463,0.081,7.44,37.104
-110.0472,37.60413,2015,historical,7.368,3.446,0.285,13.03,36.25
-110.0472,37.60413,2015,historical,0.0,5.344,0.25,7.44,37.104
-110.0472,37.60413,2016,historical,7.368,3.446,0.285,6.91,37.85
-110.0472,37.60413,2016,historical,0.0,3.563,0.092,7.44,37.104
-110.0472,37.60413,2017,historical,7.368,3.446,0.285,6.1,37.35
-110.0472,37.60413,2017,historical,0.0,3.071,0.029,7.44,37.104
-110.0472,37.60413,2018,historical,7.368,3.446,0.285,4.48,35.95
-110.0472,37.60413,2018,historical,0.0,2.177,0.012,7.44,37.104
-110.0461,37.60334,1980,historical,7.368,3.446,0.285,2.69,37.05
-110.0461,37.60334,1980,historical,0.0,1.5,0.034,7.44,37.104
-110.0461,37.60334,1981,historical,7.368,3.446,0.285,9.39,37.55
-110.0461,37.60334,1981,historical,0.0,5.088,0.039,7.44,37.104
-110.0461,37.60334,1982,historical,7.368,3.446,0.285,9.5,36.65
-110.0461,37.60334,1982,historical,0.0,4.375,0.193,7.44,37.104
-110.0461,37.60334,1983,historical,7.368,3.446,0.285,10.22,34.55
-110.0461,37.60334,1983,historical,0.0,5.128,0.104,7.44,37.104
-110.0461,37.60334,1984,historical,7.368,3.446,0.285,9.49,35.35
-110.0461,37.60334,1984,historical,0.0,5.205,0.052,7.44,37.104
-110.0461,37.60334,1985,historical,7.368,3.446,0.285,4.81,37.55
-110.0461,37.60334,1985,historical,0.0,2.132,0.108,7.44,37.104
-110.0461,37.60334,1986,historical,7.368,3.446,0.285,9.85,35.05
-110.0461,37.60334,1986,historical,0.0,4.407,0.116,7.44,37.104
-110.0461,37.60334,1987,historical,7.368,3.446,0.285,11.04,34.25
-110.0461,37.60334,1987,historical,0.0,4.395,0.315,7.44,37.104
-110.0461,37.60334,1988,historical,7.368,3.446,0.285,7.98,35.75
-110.0461,37.60334,1988,historical,0.0,4.346,0.028,7.44,37.104
-110.0461,37.60334,1989,historical,7.368,3.446,0.285,6.69,38.25
-110.0461,37.60334,1989,historical,0.0,3.191,0.098,7.44,37.104
-110.0461,37.60334,1990,historical,7.368,3.446,0.285,5.41,37.35
-110.0461,37.60334,1990,historical,0.0,2.998,0.015,7.44,37.104
-110.0461,37.60334,1991,historical,7.368,3.446,0.285,6.39,34.85
-110.0461,37.60334,1991,historical,0.0,3.927,0.016,7.44,37.104
-110.0461,37.60334,1992,historical,7.368,3.446,0.285,5.95,34.35
-110.0461,37.60334,1992,historical,0.0,3.619,0.019,7.44,37.104
-110.0461,37.60334,1993,historical,7.368,3.446,0.285,5.55,34.75
-110.0461,37.60334,1993,historical,0.0,2.464,0.091,7.44,37.104
-110.0461,37.60334,1994,historical,7.368,3.446,0.285,2.56,37.35
-110.0461,37.60334,1994,historical,0.0,1.992,0.0,7.44,37.104
-110.0461,37.60334,1995,historical,7.368,3.446,0.285,6.76,37.25
-110.0461,37.60334,1995,historical,0.0,4.125,0.018,7.44,37.104
-110.0461,37.60334,1996,historical,7.368,3.446,0.285,4.72,36.05
-110.0461,37.60334,1996,historical,0.0,3.015,0.001,7.44,37.104
-110.0461,37.60334,1997,historical,7.368,3.446,0.285,9.18,35.45
-110.0461,37.60334,1997,historical,0.0,3.747,0.328,7.44,37.104
-110.0461,37.60334,1998,historical,7.368,3.446,0.285,5.69,37.25
-110.0461,37.60334,1998,historical,0.0,3.183,0.06,7.44,37.104
-110.0461,37.60334,1999,historical,7.368,3.446,0.285,14.56,34.35
-110.0461,37.60334,1999,historical,0.0,6.163,0.31,7.44,37.104
-110.0461,37.60334,2000,historical,7.368,3.446,0.285,4.78,36.85
-110.0461,37.60334,2000,historical,0.0,3.043,0.0,7.44,37.104
-110.0461,37.60334,2001,historical,7.368,3.446,0.285,8.13,36.05
-110.0461,37.60334,2001,historical,7.368,3.446,0.285,8.13,36.05
-110.0461,37.60334,2001,historical,7.368,3.446,0.285,8.13,36.05
-110.0461,37.60334,2001,historical,7.368,3.446,0.285,8.13,36.05
-110.0461,37.60334,2001,historical,0.0,4.003,0.085,7.44,37.104
-110.0461,37.60334,2002,historical,7.368,3.446,0.285,3.0,37.25
-110.0461,37.60334,2002,historical,0.0,2.229,0.0,7.44,37.104
-110.0461,37.60334,2003,historical,7.368,3.446,0.285,5.4,38.15
-110.0461,37.60334,2003,historical,0.0,3.011,0.031,7.44,37.104
-110.0461,37.60334,2004,historical,7.368,3.446,0.285,2.76,35.15
-110.0461,37.60334,2004,historical,7.368,3.446,0.285,2.76,35.15
-110.0461,37.60334,2004,historical,7.368,3.446,0.285,2.76,35.15
-110.0461,37.60334,2004,historical,7.368,3.446,0.285,2.76,35.15
-110.0461,37.60334,2004,historical,0.0,1.984,0.0,7.44,37.104
-110.0461,37.60334,2005,historical,7.368,3.446,0.285,8.14,38.25
-110.0461,37.60334,2005,historical,0.0,3.814,0.103,7.44,37.104
-110.0461,37.60334,2006,historical,7.368,3.446,0.285,7.13,36.95
-110.0461,37.60334,2006,historical,0.0,3.91,0.022,7.44,37.104
-110.0461,37.60334,2007,historical,7.368,3.446,0.285,7.59,36.25
-110.0461,37.60334,2007,historical,0.0,3.639,0.062,7.44,37.104
-110.0461,37.60334,2008,historical,7.368,3.446,0.285,6.65,35.25
-110.0461,37.60334,2008,historical,7.368,3.446,0.285,6.65,35.25
-110.0461,37.60334,2008,historical,7.368,3.446,0.285,6.65,35.25
-110.0461,37.60334,2008,historical,7.368,3.446,0.285,6.65,35.25
-110.0461,37.60334,2008,historical,0.0,3.183,0.051,7.44,37.104
-110.0461,37.60334,2009,historical,7.368,3.446,0.285,2.48,36.25
-110.0461,37.60334,2009,historical,0.0,1.844,0.0,7.44,37.104
-110.0461,37.60334,2010,historical,7.368,3.446,0.285,9.85,37.75
-110.0461,37.60334,2010,historical,0.0,4.187,0.288,7.44,37.104
-110.0461,37.60334,2011,historical,7.368,3.446,0.285,5.66,35.85
-110.0461,37.60334,2011,historical,0.0,3.743,0.005,7.44,37.104
-110.0461,37.60334,2012,historical,7.368,3.446,0.285,6.7,35.75
-110.0461,37.60334,2012,historical,7.368,3.446,0.285,6.7,35.75
-110.0461,37.60334,2012,historical,7.368,3.446,0.285,6.7,35.75
-110.0461,37.60334,2012,historical,7.368,3.446,0.285,6.7,35.75
-110.0461,37.60334,2012,historical,0.0,2.832,0.136,7.44,37.104
-110.0461,37.60334,2013,historical,7.368,3.446,0.285,7.91,38.55
-110.0461,37.60334,2013,historical,0.0,3.037,0.17,7.44,37.104
-110.0461,37.60334,2014,historical,7.368,3.446,0.285,6.9,35.95
-110.0461,37.60334,2014,historical,0.0,3.316,0.089,7.44,37.104
-110.0461,37.60334,2015,historical,7.368,3.446,0.285,13.03,36.25
-110.0461,37.60334,2015,historical,0.0,5.266,0.268,7.44,37.104
