,year,drysoildays_summer_whole,evap_summer,nondryswa_summer_whole,ppt_summer,tmax_summer,vwc_summer_whole
0,1980,7.856,2.877,0.272,3.993,36.822,0.067
1,1981,6.881,4.098,0.213,9.247,37.152,0.066
2,1982,7.139,3.79,0.298,9.448,36.545,0.07
3,1983,6.44,4.05,0.311,10.045,34.954,0.071
4,1984,6.792,4.044,0.246,9.134,35.494,0.068
5,1985,7.147,3.006,0.276,5.723,37.114,0.068
6,1986,7.016,3.852,0.264,9.585,35.409,0.069
7,1987,6.688,3.763,0.349,10.672,34.729,0.073
8,1988,7.156,3.832,0.244,8.564,35.757,0.068
9,1989,7.207,3.401,0.236,7.221,37.561,0.067
10,1990,9.056,3.35,0.199,6.21,36.871,0.066
11,1991,7.429,3.661,0.229,7.097,34.994,0.067
12,1992,7.146,3.598,0.267,6.621,34.891,0.068
13,1993,7.466,3.164,0.288,6.607,35.286,0.068
14,1994,8.152,3.039,0.208,4.194,36.889,0.065
15,1995,7.144,3.756,0.269,7.396,36.894,0.069
16,1996,9.688,3.432,0.196,5.956,36.121,0.065
17,1997,6.51,3.577,0.353,8.723,35.692,0.073
18,1998,7.269,3.411,0.248,6.644,36.812,0.068
19,1999,6.3,4.344,0.378,13.096,34.791,0.075
20,2000,8.289,3.363,0.195,5.916,36.631,0.065
21,2001,6.645,3.703,0.261,8.295,36.113,0.068
22,2002,9.407,3.114,0.207,4.497,36.81,0.065
23,2003,7.487,3.396,0.221,6.551,37.388,0.066
24,2004,8.287,3.002,0.213,4.28,35.514,0.066
25,2005,6.622,3.627,0.306,8.206,37.602,0.07
26,2006,7.426,3.701,0.224,7.717,36.668,0.067
27,2007,7.296,3.574,0.235,7.818,36.208,0.067
28,2008,6.973,3.451,0.258,7.233,35.489,0.068
29,2009,7.811,2.978,0.207,4.256,36.23,0.065
30,2010,6.57,3.75,0.38,9.824,37.225,0.075
31,2011,7.531,3.615,0.207,6.448,35.941,0.066
32,2012,7.607,3.294,0.249,7.166,35.829,0.068
33,2013,7.828,3.33,0.265,8.211,37.787,0.069
34,2014,7.047,3.465,0.26,7.403,35.954,0.068
35,2015,5.915,4.148,0.329,11.49,36.254,0.073
36,2016,7.012,3.527,0.261,7.564,37.34,0.069
37,2017,7.067,3.364,0.225,6.995,37.062,0.067
38,2018,9.188,3.013,0.204,5.608,35.847,0.065
39,2021,7.325,3.467,0.28,7.452,36.934,0.069
40,2022,7.423,3.392,0.27,7.103,37.53,0.068
41,2023,7.213,3.535,0.317,8.171,37.196,0.071
42,2024,7.487,3.31,0.299,6.994,37.584,0.07
