long,lat,year,rcp,treecanopy,bare,herb,ann_herb,litter,shrub,total
-110.0472,37.60413,1980,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1980,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1980,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1980,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1980,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1981,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1981,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1982,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1982,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1983,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1983,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1984,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1984,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1984,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1984,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1984,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1985,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1985,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1986,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1986,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1987,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1987,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1988,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1988,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1989,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1989,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1990,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1990,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1991,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1991,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1992,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1992,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1993,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1993,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1994,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1994,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1995,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1995,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1996,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1996,historical,0,84,5,0,11,7,-61
-110.0472,37.60413,1997,historical,0,84,5,0,11,7,-61
